,open,high,low,close,volume,range,range_shift1,target
2021-03-02 07:05:00,61.4,62.0,61.3,62.0,949313.2961207,0.3500000000000014,0.14999999999999858,61.55
2021-03-02 07:06:00,62.0,62.0,60.7,60.8,982785.48041119,0.6499999999999986,0.3500000000000014,62.35
2021-03-02 07:07:00,60.8,61.1,60.7,61.0,504012.83335297,0.1999999999999993,0.6499999999999986,61.449999999999996
2021-03-02 07:08:00,61.1,61.9,60.7,60.9,809592.60366958,0.5999999999999979,0.1999999999999993,61.3
2021-03-02 07:09:00,60.9,61.5,60.4,61.1,369887.31854829,0.5500000000000007,0.5999999999999979,61.5
2021-03-02 07:10:00,61.1,61.2,60.6,61.0,441516.40414233,0.3000000000000007,0.5500000000000007,61.650000000000006
2021-03-02 07:11:00,61.0,61.1,60.8,61.1,221458.23125341,0.15000000000000213,0.3000000000000007,61.3
2021-03-02 07:12:00,61.0,61.4,61.0,61.0,670175.31894178,0.1999999999999993,0.15000000000000213,61.150000000000006
2021-03-02 07:13:00,61.0,61.2,60.8,61.1,501697.71148311,0.20000000000000284,0.1999999999999993,61.2
2021-03-02 07:14:00,61.2,61.2,60.8,60.9,765826.62221784,0.20000000000000284,0.20000000000000284,61.400000000000006
2021-03-02 07:15:00,61.0,62.0,60.9,61.6,848064.73166783,0.5500000000000007,0.20000000000000284,61.2
2021-03-02 07:16:00,61.6,61.9,61.4,61.6,496066.43261909,0.25,0.5500000000000007,62.150000000000006
2021-03-02 07:17:00,61.6,62.4,61.0,62.4,2103363.43458802,0.6999999999999993,0.25,61.85
2021-03-02 07:18:00,61.9,62.4,61.9,62.2,452627.42401196,0.25,0.6999999999999993,62.599999999999994
2021-03-02 07:19:00,62.2,62.6,62.2,62.4,940410.50834382,0.1999999999999993,0.25,62.45
2021-03-02 07:20:00,62.4,62.5,62.0,62.2,1188085.34524707,0.25,0.1999999999999993,62.599999999999994
2021-03-02 07:21:00,62.3,62.5,62.0,62.4,359892.47967961,0.25,0.25,62.55
2021-03-02 07:22:00,62.4,63.2,62.3,62.6,1377954.71920848,0.45000000000000284,0.25,62.65
2021-03-02 07:23:00,62.6,63.6,62.5,63.3,3449038.79995361,0.5500000000000007,0.45000000000000284,63.050000000000004
2021-03-02 07:24:00,62.7,63.3,62.3,62.8,2131224.56038817,0.5,0.5500000000000007,63.25
2021-03-02 07:25:00,62.7,62.8,62.3,62.3,1390428.12919531,0.25,0.5,63.2
2021-03-02 07:26:00,62.4,62.4,61.0,61.2,2362389.33704441,0.6999999999999993,0.25,62.65
2021-03-02 07:27:00,61.2,61.5,60.7,61.3,1119352.48199664,0.3999999999999986,0.6999999999999993,61.900000000000006
2021-03-02 07:28:00,61.2,62.2,61.1,61.7,1293443.14965931,0.5500000000000007,0.3999999999999986,61.6
2021-03-02 07:29:00,61.5,61.8,61.2,61.4,568099.17972231,0.29999999999999716,0.5500000000000007,62.05
2021-03-02 07:30:00,61.4,61.4,61.2,61.2,682072.11657552,0.09999999999999787,0.29999999999999716,61.699999999999996
2021-03-02 07:31:00,61.1,61.2,60.8,60.9,513080.40919916,0.20000000000000284,0.09999999999999787,61.2
2021-03-02 07:32:00,60.9,61.0,60.9,61.0,94843.71735687,0.05000000000000071,0.20000000000000284,61.1
2021-03-02 07:33:00,61.0,61.3,61.0,61.3,136485.53467662,0.14999999999999858,0.05000000000000071,61.05
2021-03-02 07:34:00,61.3,61.3,61.1,61.3,148655.17581772,0.09999999999999787,0.14999999999999858,61.449999999999996
2021-03-02 07:35:00,61.3,61.3,61.2,61.2,132524.48702583,0.04999999999999716,0.09999999999999787,61.39999999999999
2021-03-02 07:36:00,61.2,61.2,60.9,61.2,308139.37625597,0.15000000000000213,0.04999999999999716,61.25
2021-03-02 07:37:00,61.1,61.2,61.1,61.1,108097.12234338,0.05000000000000071,0.15000000000000213,61.25
2021-03-02 07:38:00,61.1,61.1,61.0,61.1,52800.02333897,0.05000000000000071,0.05000000000000071,61.150000000000006
2021-03-02 07:39:00,61.0,61.0,60.7,60.8,196428.27577697,0.14999999999999858,0.05000000000000071,61.05
2021-03-02 07:40:00,60.8,60.8,60.5,60.6,237140.27570265,0.14999999999999858,0.14999999999999858,60.949999999999996
2021-03-02 07:41:00,60.6,60.7,60.4,60.5,215258.75814947,0.15000000000000213,0.14999999999999858,60.75
2021-03-02 07:42:00,60.5,60.8,60.5,60.8,60593.11835257,0.14999999999999858,0.15000000000000213,60.650000000000006
2021-03-02 07:43:00,60.8,61.0,60.8,61.0,64161.56138355,0.10000000000000142,0.14999999999999858,60.949999999999996
2021-03-02 07:44:00,61.0,61.1,61.0,61.0,23483.50547407,0.05000000000000071,0.10000000000000142,61.1
2021-03-02 07:45:00,61.1,61.4,61.0,61.4,404024.99327429,0.1999999999999993,0.05000000000000071,61.150000000000006
2021-03-02 07:46:00,61.3,61.6,61.1,61.5,150488.58413373,0.25,0.1999999999999993,61.5
2021-03-02 07:47:00,61.3,61.7,61.3,61.4,233902.98082942,0.20000000000000284,0.25,61.55
2021-03-02 07:48:00,61.6,61.6,61.2,61.6,120487.39650289,0.1999999999999993,0.20000000000000284,61.800000000000004
2021-03-02 07:49:00,61.4,61.6,60.9,61.0,683607.32795909,0.3500000000000014,0.1999999999999993,61.599999999999994
2021-03-02 07:50:00,61.0,61.6,60.9,61.5,804459.90134729,0.3500000000000014,0.3500000000000014,61.35
2021-03-02 07:51:00,61.0,61.1,61.0,61.0,54190.25829129,0.05000000000000071,0.3500000000000014,61.35
2021-03-02 07:52:00,61.0,61.5,60.9,61.4,326347.12555153,0.3000000000000007,0.05000000000000071,61.05
2021-03-02 07:53:00,61.4,61.7,61.0,61.7,339447.20011684,0.3500000000000014,0.3000000000000007,61.7
2021-03-02 07:54:00,61.7,61.9,61.4,61.4,500910.89288387,0.25,0.3500000000000014,62.050000000000004
2021-03-02 07:55:00,61.4,61.7,61.4,61.4,168403.12339562,0.15000000000000213,0.25,61.65
2021-03-02 07:56:00,61.4,61.6,60.6,60.7,1076072.5387018,0.5,0.15000000000000213,61.55
2021-03-02 07:57:00,60.7,60.8,60.6,60.8,98582.67616348,0.09999999999999787,0.5,61.2
2021-03-02 07:58:00,60.8,61.0,60.8,60.9,86048.11927369,0.10000000000000142,0.09999999999999787,60.89999999999999
2021-03-02 07:59:00,60.9,61.0,60.9,60.9,13046.14457895,0.05000000000000071,0.10000000000000142,61.0
2021-03-02 08:00:00,60.9,60.9,60.8,60.8,29818.61851542,0.05000000000000071,0.05000000000000071,60.95
2021-03-02 08:01:00,60.8,60.8,60.6,60.6,164007.07995803,0.09999999999999787,0.05000000000000071,60.849999999999994
2021-03-02 08:02:00,60.6,60.6,60.4,60.4,249127.67114441,0.10000000000000142,0.09999999999999787,60.7
